32126,271,0
62288,712,2
88605,37,2
158451,707,2
192654,121,2
197777,632,2
145830,418,2
246931,367,2
24761,805,2
39368,801,2
79147,786,2
88486,792,0
94122,815,0
121850,802,0
195777,801,0
244193,807,0
249466,802,0
62742,808,0
82528,788,0
157016,807,0
184402,811,1
225333,803,1
299803,781,1
344067,710,1
51431,385,1
69417,713,1
142375,790,1
179591,422,2
192886,416,0
220165,768,2
234631,445,2
314654,367,1
323198,372,1
337294,402,0
337298,782,0
337289,122,2
27251,100,2
51331,151,2
77566,566,1
117917,737,0
28655,478,2
80610,666,2
80735,497,1
80343,373,1
80072,693,1
164446,481,1
164734,695,1
164976,348,1
182081,700,1
182253,406,1
182531,701,1
252224,532,1
258527,541,1
265719,730,2
265189,443,1
266021,48,1
294952,712,0
295298,345,1
295803,678,2
298219,533,2
300984,291,0
309866,610,0
317447,637,1
330051,418,2
335282,562,0
346083,448,1
346063,225,2
346086,720,1
351289,507,2
358632,351,0
358946,541,1
361959,742,1
362027,617,2
362126,500,0
362259,540,0
362291,656,1
362377,746,2
362501,632,2
362573,528,2
366055,118,0
366186,230,1
366309,326,2
366461,445,2
366985,755,0
367179,743,1
367084,433,1
368793,662,2
368883,521,0
369024,671,1
369095,521,1
369249,695,1
369288,508,1
368920,338,1
369333,332,1
369115,362,1
372705,745,1
373020,718,1
22816,393,1
14867,706,1
40643,366,1
44709,390,1
104398,372,1
118768,32,2
139054,747,0
220986,128,0
232730,360,0
277606,158,0
291535,85,0
323468,647,0
390057,12,0
390300,27,0
390572,31,0
390040,357,2
390584,347,2
390288,355,1
1442,454,0
5782,454,0
